,p,q,prob_hide_friend,prob_interfriend_edge,DOT-VAR mean,DOT-VAR conf_mean,DOT-VAR conf_left,DOT-VAR conf_right,Combo-LP mean,Combo-LP conf_mean,Combo-LP conf_left,Combo-LP conf_right,DOT-LP mean,DOT-LP conf_mean,DOT-LP conf_left,DOT-LP conf_right,DOT-Combo mean,DOT-Combo conf_mean,DOT-Combo conf_left,DOT-Combo conf_right,VAR-LP mean,VAR-LP conf_mean,VAR-LP conf_left,VAR-LP conf_right,LP mean,LP conf_mean,LP conf_left,LP conf_right,Combo mean,Combo conf_mean,Combo conf_left,Combo conf_right,VAR mean,VAR conf_mean,VAR conf_left,VAR conf_right,DOT mean,DOT conf_mean,DOT conf_left,DOT conf_right
10,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.12,0.12719999999999998,0.08252159358258174,0.17187840641741822,0.12,0.11960000000000001,0.06956161473428625,0.1696383852657138,0.0,0.0,0.0,0.0,0.12,0.12399999999999999,0.07795654226711464,0.17004345773288532,0.88,0.8764000000000002,0.8321841657321726,0.9206158342678278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.3,0.35,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.35,0.2,0.0,0.3,-0.02,-0.023399999999999997,-0.04476445646394965,-0.0020355435360503472,0.26,0.2596,0.19037688247413298,0.328823117525867,0.24,0.236,0.176805405652205,0.29519459434779494,-0.02,-0.018600000000000002,-0.038247900651214625,0.0010479006512146213,0.26,0.262,0.2,0.324,0.72,0.7272,0.6650054664781542,0.7893945335218457,0.98,0.9814000000000002,0.9607592635790291,1.0020407364209711,0.98,0.9804,0.9612208446484211,0.999579155351579,0.96,0.9628,0.9367201226996751,0.9888798773003249
13,0.35,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0.08,0.0768,0.04016995768498212,0.11343004231501787,0.08,0.07519999999999999,0.037451357640307104,0.11294864235969287,0.0,0.0,0.0,0.0,0.08,0.0754,0.03930512501753192,0.11149487498246807,0.92,0.9188,0.8742740525086775,0.9633259474913224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.35,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.35,0.35,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.2,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.8242000000000002,0.7696256470491863,0.878774352950814,0.82,0.8196000000000001,0.774524064069617,0.8646759359303832,0.82,0.8284,0.7750198538780569,0.8817801461219431,0.82,0.8242,0.7645144908708991,0.883885509129101
17,0.2,0.25,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.821,0.7686645435674818,0.8733354564325181,0.82,0.8126000000000001,0.7594093993265728,0.8657906006734274,0.82,0.8146000000000001,0.7613943612010908,0.8678056387989094,0.82,0.8164,0.764293954285515,0.868506045714485
18,0.2,0.3,0.1,0.3,-0.08,-0.0766,-0.11159199908550524,-0.04160800091449476,0.12,0.1222,0.08054474823026513,0.16385525176973487,0.06,0.05999999999999999,0.029536907576544355,0.09046309242345563,-0.06,-0.05839999999999998,-0.0859216278588313,-0.03087837214116866,0.14,0.1364,0.0864896804257877,0.1863103195742123,0.82,0.8114,0.756536168562522,0.866263831437478,0.94,0.9468,0.9169711548999966,0.9766288451000034,0.96,0.9625999999999999,0.9359684397753342,0.9892315602246656,0.88,0.8766000000000002,0.826316404265407,0.9268835957345933
19,0.2,0.35,0.1,0.3,0.0,0.0,0.0,0.0,0.16,0.15859999999999996,0.11530981635520585,0.20189018364479408,0.16,0.1578,0.10800883612527218,0.2075911638747278,0.0,0.0,0.0,0.0,0.16,0.157,0.10930303992915272,0.20469696007084728,0.84,0.8370000000000002,0.7864529921755997,0.8875470078244007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.25,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.7234000000000002,0.6568835358726881,0.7899164641273122,0.72,0.7201999999999998,0.6544431752591412,0.7859568247408585,0.72,0.7276,0.6698571216512375,0.7853428783487626,0.72,0.718,0.6550396950452112,0.7809603049547887
21,0.25,0.25,0.1,0.3,0.0,0.00019999999999999966,-0.028154188403126616,0.028554188403126613,0.12,0.121,0.069279597836057,0.172720402163943,0.06,0.061399999999999996,0.02649957020321956,0.09630042979678044,-0.06,-0.0544,-0.08421006541421873,-0.024589934585781265,0.06,0.0608,0.025823436418081325,0.09577656358191868,0.74,0.7362000000000002,0.6727211846361325,0.7996788153638679,0.86,0.8682,0.8217160242664205,0.9146839757335794,0.8,0.8018,0.743758980022746,0.8598410199772539,0.8,0.7884,0.7347955225750684,0.8420044774249316
22,0.25,0.3,0.1,0.3,-0.06,-0.0582,-0.09398770738675502,-0.022412292613244983,0.24,0.24720000000000006,0.17975995255043192,0.3146400474495682,0.18,0.17299999999999996,0.11697322068867419,0.22902677931132573,-0.06,-0.0622,-0.09130601312443874,-0.033093986875561254,0.24,0.2398,0.18125121692127155,0.2983487830787285,0.76,0.7535999999999998,0.6952987135647932,0.8119012864352064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.9394,0.9062391797447651,0.9725608202552349
23,0.25,0.35,0.1,0.3,0.0,0.0,0.0,0.0,0.08,0.08039999999999999,0.038832705163794924,0.12196729483620505,0.08,0.081,0.0434367200580141,0.1185632799419859,0.0,0.0,0.0,0.0,0.08,0.08560000000000001,0.05083449985977479,0.12036550014022523,0.92,0.9234,0.8864075683416188,0.9603924316583812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.3,0.2,0.1,0.3,0.02,0.0204,-0.0013218783718167391,0.042121878371816746,0.12,0.11680000000000003,0.07060735989359346,0.1629926401064066,0.04,0.0378,0.012048106865707911,0.06355189313429209,-0.08,-0.079,-0.11730143600441112,-0.04069856399558889,0.02,0.0202,0.0001012438195792803,0.04029875618042072,0.68,0.6829999999999998,0.6273313373611327,0.738668662638867,0.8,0.8047999999999998,0.7480112687234517,0.861588731276548,0.7,0.6922,0.6245009601249767,0.7598990398750234,0.72,0.7352000000000001,0.6785523169052785,0.7918476830947216
25,0.3,0.25,0.1,0.3,0.02,0.0216,0.0008770658448182117,0.04232293415518179,0.32,0.3138,0.24558299332277914,0.38201700667722094,0.3,0.3048,0.24041863623687365,0.3691813637631264,-0.02,-0.024000000000000004,-0.04554065922853802,-0.0024593407714619854,0.28,0.28080000000000005,0.2136333416046325,0.3479666583953676,0.66,0.6581999999999999,0.589317781684966,0.7270822183150338,0.98,0.9828000000000001,0.9653598165147268,1.0002401834852734,0.94,0.9398000000000001,0.9061553867610282,0.9734446132389719,0.96,0.9632000000000001,0.9367092468963225,0.9896907531036776
26,0.3,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.14,0.1332,0.08427393332792836,0.18212606667207165,0.14,0.1494,0.09837412421133765,0.20042587578866236,0.0,0.0,0.0,0.0,0.14,0.14239999999999997,0.09487905724840887,0.18992094275159108,0.86,0.8578000000000001,0.8101433110675953,0.9054566889324049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.3,0.35,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0.35,0.2,0.1,0.3,0.1,0.0968,0.05984380972015649,0.1337561902798435,0.26,0.26099999999999995,0.20287083348266546,0.3191291665173344,0.24,0.23980000000000004,0.1778003225814844,0.3017996774185157,-0.02,-0.0196,-0.038569449122207,-0.0006305508777929986,0.14,0.1362,0.09380235855616492,0.17859764144383505,0.72,0.7112000000000002,0.6503842125760096,0.7720157874239907,0.98,0.9802000000000001,0.9599032022230107,1.0004967977769894,0.86,0.8658,0.8137004798486589,0.9178995201513411,0.96,0.9616,0.9323863045815837,0.9908136954184164
29,0.35,0.25,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.10339999999999999,0.0632946387623799,0.1435053612376201,0.1,0.09960000000000001,0.05364523963722583,0.14555476036277418,0.0,0.0,0.0,0.0,0.1,0.10140000000000002,0.057467779477927604,0.14533222052207243,0.9,0.8948,0.8569984127317384,0.9326015872682617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.35,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
